DATE,sleep_hrs,Total_Prod.,p,WebD,webD-desW/P,PHP,React,RubyRails,Python,Python Data Analysis,Data Science,Django,Java,Java-Android,C,Swift,DB-studies,Db.visio,SQLServer,R,R-Rstudio,ProjectM.,3D modeling,photoshop,illustrator,substance(CAD),BA/SA,BootstrapStudio,vuejs,x,,,,,,,,,
7/21/2020,7,8.417,2.750,1.500,,,,,0.250,3.833,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,
7/22/2020,9.5,4.750,1.333,,,,,,0.167,1.833,,,,,1.250,,,,,0.167,,,,,,,,,,,,,,,,,,,
7/23/2020,4,2.500,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2020,8,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2020,9,0.167,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2020,9.5,5.750,4.750,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2020,5,3.417,2.917,,,,,,,,0.250,,,,,,0.250,,,,,,,,,,,,,,,,,,,,,,
7/28/2020,10,5.000,4.000,,,,,,,,0.250,,,,,0.750,,,,,,,,,,,,,,,,,,,,,,,
7/29/2020,7.5,1.500,1.250,,,,,,,,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2020,7.5,3.667,1.250,,,,,,,,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2020,8.5,3.250,1.500,,,,,,,,1.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2020,7,6.417,1.750,4.250,,,,,,,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2020,7,0.917,0.667,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2020,8,1.250,0.750,0.417,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2020,8,1.667,1.000,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2020,8.5,0.500,0.167,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2020,8.5,1.500,0.083,1.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2020,9,3.833,0.750,3.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2020,8.5,1.833,0.250,1.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2020,6,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2020,6,1.333,0.083,1.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2020,8,2.750,1.250,1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2020,8,2.000,0.750,0.750,,,,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2020,8.5,2.667,0.750,0.333,,,,,,,1.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2020,4,0.500,0.167,,,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2020,9.5,2.500,0.500,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2020,7,0.750,0.250,,,,,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2020,5.5,6.667,3.250,,,,,,,,3.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2020,8.5,4.667,2.500,,,,,,,,2.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2020,8,2.833,2.500,,,,,,0.167,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,
8/20/2020,9,4.250,1.833,,,,,,0.250,,,,,,,2.167,,,,,,,,,,,,,,,,,,,,,,,
8/21/2020,8,4.583,2.250,,,,,,2.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2020,7,6.167,3.250,,,,,,1.833,,,,,,,0.333,,,,,,,0.750,,,,,,,,,,,,,,,,
8/23/2020,8.5,8.917,6.250,0.333,0.333,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2020,6.5,7.167,5.083,0.750,0.333,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2020,8.5,7.667,3.667,,0.250,,,,2.750,,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,
8/26/2020,7.5,3.333,0.917,1.500,,,,,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2020,8,3.250,0.833,,,,,,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2020,8.5,0.500,0.250,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2020,7,2.667,2.000,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2020,8,5.667,1.833,1.417,,,,,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2020,9,4.000,2.500,,,,,,1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2020,7.5,4.417,4.083,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2020,8,4.750,4.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2020,7,9.500,9.000,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2020,7,4.750,4.333,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2020,5,1.750,1.500,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2020,8.5,3.000,2.000,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2020,7,9.500,6.833,,,,,,2.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2020,5.5,4.333,3.000,1.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2020,9,4.500,1.750,2.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2020,6.5,2.917,2.000,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2020,6.5,4.167,1.000,2.500,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2020,7,4.417,2.750,0.667,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/2020,8,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
